iter	Passed	Remaining
416	2540	3552
417	2547	3546
418	2553	3540
419	2562	3539
420	2568	3533
421	2576	3528
422	2582	3522
423	2588	3516
424	2597	3513
425	2604	3508
426	2612	3505
427	2618	3499
428	2626	3496
429	2633	3490
430	2642	3488
431	2649	3483
432	2663	3487
433	2670	3482
434	2677	3478
435	2684	3472
436	2692	3468
437	2699	3464
438	2710	3463
439	2717	3458
440	2724	3453
441	2731	3447
442	2738	3442
443	2745	3437
444	2752	3432
445	2758	3426
446	2765	3420
447	2771	3415
448	2777	3408
449	2782	3400
450	2789	3395
451	2794	3388
452	2799	3380
453	2806	3375
454	2811	3368
455	2817	3361
456	2823	3354
457	2828	3347
458	2834	3341
459	2840	3334
460	2846	3327
461	2852	3322
462	2858	3315
463	2865	3310
464	2872	3304
465	2878	3298
466	2886	3294
467	2892	3287
468	2899	3282
469	2941	3317
470	2952	3316
471	2958	3310
472	2972	3312
473	2979	3306
474	2986	3300
475	2992	3294
476	2998	3287
477	3005	3282
478	3010	3274
479	3017	3269
480	3023	3262
481	3028	3255
482	3035	3249
483	3040	3241
484	3047	3235
485	3053	3229
486	3059	3222
487	3066	3216
488	3071	3209
489	3077	3202
490	3083	3196
491	3089	3189
492	3095	3183
493	3101	3176
494	3106	3169
495	3113	3164
496	3119	3156
497	3124	3149
498	3131	3144
499	3137	3137
500	3143	3130
501	3150	3125
502	3157	3120
503	3165	3115
504	3172	3109
505	3181	3105
506	3187	3099
507	3195	3095
508	3202	3089
509	3209	3084
510	3216	3078
511	3222	3071
512	3229	3065
513	3234	3058
514	3241	3052
515	3247	3045
516	3253	3039
517	3261	3034
518	3266	3027
519	3273	3021
520	3279	3014
521	3284	3007
522	3291	3002
523	3297	2995
524	3303	2989
525	3310	2983
526	3315	2976
527	3322	2970
528	3328	2963
529	3334	2956
530	3340	2950
531	3346	2943
532	3352	2937
533	3359	2931
534	3365	2925
535	3372	2919
536	3378	2913
537	3385	2906
538	3391	2900
539	3396	2893
540	3403	2887
541	3408	2880
542	3414	2873
543	3420	2867
544	3426	2860
545	3431	2853
546	3438	2847
547	3444	2841
548	3451	2835
549	3457	2828
550	3462	2821
551	3468	2815
552	3475	2809
553	3481	2802
554	3488	2796
555	3494	2790
556	3500	2783
557	3505	2777
558	3511	2769
559	3518	2764
560	3523	2757
561	3529	2750
562	3536	2744
563	3541	2737
564	3547	2731
565	3552	2724
566	3558	2717
567	3564	2710
568	3569	2703
569	3574	2696
570	3581	2690
571	3587	2684
572	3593	2677
573	3600	2671
574	3605	2665
575	3612	2659
576	3618	2652
577	3624	2646
578	3631	2640
579	3637	2634
580	3644	2628
581	3650	2621
582	3656	2615
583	3662	2609
584	3668	2602
585	3673	2595
586	3679	2588
587	3685	2582
588	3690	2575
589	3696	2568
590	3701	2561
591	3706	2554
592	3712	2548
593	3717	2541
594	3722	2534
595	3729	2527
596	3734	2520
597	3739	2513
598	3745	2507
599	3750	2500
600	3756	2493
601	3762	2487
602	3767	2480
603	3773	2474
604	3779	2467
605	3785	2461
606	3791	2454
607	3797	2448
608	3802	2441
609	3809	2435
610	3814	2428
611	3819	2421
612	3826	2415
613	3831	2408
614	3837	2402
615	3843	2395
616	3848	2388
617	3853	2382
618	3859	2375
619	3864	2368
620	3870	2362
621	3875	2355
622	3880	2348
623	3886	2342
624	3892	2335
625	3898	2328
626	3904	2322
627	3909	2315
628	3914	2308
629	3920	2302
630	3925	2295
631	3931	2288
632	3937	2282
633	3942	2275
634	3947	2269
635	3953	2262
636	3959	2256
637	3964	2249
638	3970	2243
639	3976	2236
640	3981	2229
641	3987	2223
642	3993	2217
643	3998	2210
644	4005	2204
645	4010	2197
646	4017	2191
647	4022	2185
648	4028	2178
649	4035	2172
650	4040	2166
651	4045	2159
652	4052	2153
653	4058	2147
654	4064	2140
655	4070	2134
656	4076	2128
657	4084	2122
658	4090	2116
659	4097	2110
660	4103	2104
661	4109	2098
662	4116	2092
663	4122	2086
664	4128	2079
665	4134	2073
666	4139	2066
667	4145	2060
668	4150	2053
669	4156	2047
670	4161	2040
671	4167	2034
672	4172	2027
673	4178	2020
674	4183	2014
675	4188	2007
676	4194	2001
677	4200	1994
678	4205	1987
679	4210	1981
680	4216	1975
681	4221	1968
682	4227	1962
683	4233	1955
684	4238	1949
685	4244	1942
686	4250	1936
687	4255	1929
688	4261	1923
689	4266	1917
690	4272	1910
691	4277	1904
692	4283	1897
693	4288	1890
694	4293	1884
695	4299	1877
696	4304	1871
697	4310	1864
698	4315	1858
699	4320	1851
700	4327	1845
701	4332	1839
702	4338	1832
703	4344	1826
704	4349	1819
705	4354	1813
706	4360	1807
707	4365	1800
708	4370	1793
709	4377	1787
710	4382	1781
711	4388	1774
712	4394	1768
713	4399	1762
714	4405	1756
715	4411	1749
716	4416	1743
717	4422	1736
718	4427	1730
719	4433	1724
720	4439	1717
721	4445	1711
722	4450	1705
723	4456	1698
724	4461	1692
725	4466	1685
726	4472	1679
727	4477	1673
728	4482	1666
729	4488	1660
730	4493	1653
731	4499	1647
732	4505	1641
733	4510	1634
734	4516	1628
735	4522	1622
736	4528	1615
737	4534	1609
738	4541	1603
739	4546	1597
740	4553	1591
741	4559	1585
742	4565	1579
743	4572	1573
744	4577	1566
745	4584	1560
746	4589	1554
747	4594	1547
748	4600	1541
749	4606	1535
750	4611	1528
751	4617	1522
752	4622	1516
753	4627	1509
754	4633	1503
755	4638	1497
756	4644	1490
757	4650	1484
758	4655	1478
759	4660	1471
760	4666	1465
761	4671	1459
762	4676	1452
763	4682	1446
764	4688	1440
765	4693	1433
766	4699	1427
767	4704	1421
768	4710	1414
769	4716	1408
770	4721	1402
771	4727	1396
772	4733	1390
773	4739	1383
774	4746	1377
775	4752	1371
776	4758	1365
777	4764	1359
778	4769	1353
779	4774	1346
780	4780	1340
781	4785	1334
782	4790	1327
783	4796	1321
784	4802	1315
785	4808	1309
786	4815	1303
787	4820	1296
788	4827	1290
789	4833	1284
790	4838	1278
791	4845	1272
792	4852	1266
793	4859	1260
794	4865	1254
795	4871	1248
796	4879	1242
797	4885	1236
798	4892	1230
799	4912	1228
800	4920	1222
801	4929	1217
802	4938	1211
803	4948	1206
804	4960	1201
805	4968	1195
806	4977	1190
807	4985	1184
808	4995	1179
809	5009	1174
810	5017	1169
811	5030	1164
812	5044	1160
813	5052	1154
814	5061	1148
815	5070	1143
816	5083	1138
817	5095	1133
818	5106	1128
819	5115	1122
820	5147	1122
821	5195	1124
822	5204	1119
823	5212	1113
824	5222	1107
825	5246	1105
826	5258	1099
827	5266	1094
828	5296	1092
829	5306	1086
830	5315	1080
831	5325	1075
832	5343	1071
833	5354	1065
834	5362	1059
835	5396	1058
836	5408	1053
837	5420	1047
838	5435	1043
839	5459	1039
840	5471	1034
841	5480	1028
842	5491	1022
843	5502	1016
844	5510	1010
845	5522	1005
846	5530	998
847	5538	992
848	5545	986
849	5555	980
850	5603	981
851	5615	975
852	5624	969
853	5658	967
854	5672	962
855	5685	956
856	5696	950
857	5705	944
858	5718	938
859	5729	932
860	5737	926
861	5745	919
862	5753	913
863	5761	906
864	5768	900
865	5776	893
866	5783	887
867	5790	880
868	5798	874
869	5805	867
870	5814	861
871	5822	854
872	5830	848
873	5839	841
874	5847	835
875	5854	828
876	5863	822
877	5872	816
878	5881	809
879	5889	803
880	5896	796
881	5903	789
882	5912	783
883	5919	776
884	5927	770
885	5934	763
886	5942	757
887	5949	750
888	5958	743
889	5964	737
890	5972	730
891	5979	723
892	5988	717
893	5995	710
894	6002	704
895	6009	697
896	6017	691
897	6025	684
898	6031	677
899	6039	671
900	6046	664
901	6055	657
902	6062	651
903	6070	644
904	6077	637
905	6083	631
906	6090	624
907	6097	617
908	6104	611
909	6111	604
910	6118	597
911	6124	590
912	6131	584
913	6138	577
914	6145	570
915	6152	564
916	6158	557
917	6165	550
918	6172	544
919	6178	537
920	6185	530
921	6191	523
922	6198	517
923	6205	510
924	6211	503
925	6218	496
926	6224	490
927	6231	483
928	6237	476
929	6244	469
930	6250	463
931	6257	456
932	6265	449
933	6271	443
934	6279	436
935	6285	429
936	6292	423
937	6299	416
938	6305	409
939	6313	402
940	6319	396
941	6327	389
942	6333	382
943	6340	376
944	6347	369
945	6354	362
946	6361	356
947	6368	349
948	6376	342
949	6382	335
950	6390	329
951	6396	322
952	6403	315
953	6410	309
954	6417	302
955	6424	295
956	6431	288
957	6437	282
958	6444	275
959	6451	268
960	6459	262
961	6465	255
962	6474	248
963	6480	242
964	6487	235
965	6494	228
966	6501	221
967	6507	215
968	6513	208
969	6519	201
970	6525	194
971	6531	188
972	6538	181
973	6544	174
974	6550	167
975	6556	161
976	6562	154
977	6569	147
978	6575	141
979	6581	134
980	6587	127
981	6593	120
982	6599	114
983	6605	107
984	6611	100
985	6617	93
986	6622	87
987	6628	80
988	6634	73
989	6640	67
990	6645	60
991	6652	53
992	6657	46
993	6663	40
994	6669	33
995	6674	26
996	6680	20
997	6686	13
998	6692	6
999	6699	0
